algo_name,coefficients,depth,done,graph,init_bots,init_locations,priority_nodes,random_string,sim_length,time_periods,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
through_modified_basic,1 10 0 0,5,False,grid_5_5,1,5,5 1 18 13,through_modified_basic_grid_5_5_1_d5_10,20000,60.0 60.0 60.0 60.0,True,242.8018719064047,182.67074146292688,254.25542056230523,1411.0,605.0,1411.0,1.5476830431370134
through_modified_basic,1 10 0 0,3,False,grid_5_5,4,20 23 16 15,22 20 16 15 23 3,through_modified_basic_grid_5_5_12_d3_10,20000,60.0 60.0 60.0 60.0 60.0 60.0,True,94.79909390939092,65.43764376437643,104.07113079729028,746.0,358.0,746.0,1.8629424144193407
through_modified_basic,1 10 0 0,0,False,cair,2,1154147727 cluster_1563324333_1563324337,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,through_modified_basic_cair_22_d0_10,20000,33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105,True,168.208761784133,110.83659983667484,196.8948427578621,2405.0,462.0,2405.0,1.899739489327681
through_modified_basic,1 10 0 0,5,False,cair,1,1563324324,1563324357 1563324324 1563324327 cluster_1563324010_1563324356,through_modified_basic_cair_49_d5_10,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,192.9983770474491,141.3467185233355,207.75599376862445,1190.0,492.0,1190.0,1.5503935720014592
through_modified_basic,1 10 0 0,3,False,cair,4,1563324343 1154147728 1154147727 1563324357,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,through_modified_basic_cair_92_d3_10,20000,35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316,True,81.47584601452296,60.814800740037,89.42240188932524,722.0,271.0,722.0,1.7091771656403607
through_modified_basic,1 10 0 0,0,False,grid_5_5,3,15 17 11,6 15 24 0 11 17,through_modified_basic_grid_5_5_83_d0_10,20000,80.0 80.0 80.0 80.0 80.0 80.0,True,118.25657834216578,101.00513282005132,123.70440324388612,848.0,495.0,848.0,1.3335141990528847
through_modified_basic,1 10 0 0,5,False,cair,2,cluster_1563324004_1563324334 1563324324,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_58_d5_10,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,118.65807989862611,77.76983293317326,139.10220338135255,1042.0,374.0,1042.0,1.9532381502669869
through_modified_basic,1 10 0 0,3,False,iitb,1,668620103,667357415 -222 -282 668620103 667357419,through_modified_basic_iitb_65_d3_10,20000,243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273,True,432.0024031647574,247.98793457055675,480.4272633211261,3429.0,881.0,3429.0,2.2355123456091097
through_modified_basic,1 10 0 0,0,False,cair,3,1563324327 1563324343 1563324353,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,through_modified_basic_cair_23_d0_10,20000,33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105 33.2339870772105,True,128.77786946736686,86.68047845294656,149.826564974577,1707.0,394.0,1707.0,1.9497568666259144
through_modified_basic,1 10 0 0,5,False,iitb,4,667357382 4369058864 667357419 2055461156,667357419 667357382 4369058864 2055461156,through_modified_basic_iitb_28_d5_10,20000,244.0719746939115 244.0719746939115 244.0719746939115 244.0719746939115,True,135.12397296801825,112.67414129293536,139.61393930303484,1024.0,566.0,1024.0,1.4951722743364388
through_modified_basic,1 10 0 0,0,False,cair,3,1563324343 1563324324 1563324348,1563324348 1563324324 1154147728 1563324343,through_modified_basic_cair_15_d0_10,20000,34.56569063918679 34.56569063918679 34.56569063918679 34.56569063918679,True,113.40068055555555,66.884275,126.69108214285714,1221.0,339.0,1221.0,2.1191971495610424
through_modified_basic,1 10 0 0,3,False,iitb,3,-282 668620103 667357415,667357415 -222 -282 668620103 667357419,through_modified_basic_iitb_67_d3_10,20000,243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273,True,195.1985676757568,129.34068551413557,212.52958929723607,1856.0,564.0,1856.0,2.0270386455024454
through_modified_basic,1 10 0 0,5,False,grid_5_5,4,0 2 17 12,17 2 12 0 16,through_modified_basic_grid_5_5_8_d5_10,20000,60.0 60.0 60.0 60.0 60.0,True,90.74106305315266,72.42449122456122,95.32020601030052,520.0,364.0,520.0,1.635736937971681
through_modified_basic,1 10 0 0,0,False,grid_5_5,4,4 2 10 15,24 10 4 12 2 15,through_modified_basic_grid_5_5_48_d0_10,20000,40.0 40.0 40.0 40.0 40.0 40.0,True,99.4258814118588,80.86679665366798,105.28664501970856,712.0,414.0,712.0,1.4148079376744032
through_modified_basic,1 10 0 0,3,False,iitb,2,5882320075 cluster_-172_5366445082,5882320075 cluster_-172_5366445082 5366445083 -222,through_modified_basic_iitb_98_d3_10,20000,188.35095049039631 188.35095049039631 188.35095049039631 188.35095049039631,True,304.8415170758538,182.6146432321616,329.2868918445922,2162.0,717.0,2162.0,2.3111284892862303
through_modified_basic,1 10 0 0,5,False,cair,2,1563324327 1154147727,1563324327 1154147726 1154147727 1563324357,through_modified_basic_cair_86_d5_10,20000,42.781199233777045 42.781199233777045 42.781199233777045 42.781199233777045,True,148.56515181815152,114.91240875912408,158.18022126358792,757.0,291.0,757.0,1.5310488439174448
through_modified_basic,1 10 0 0,0,False,iitb,2,667357382 3215340463,4369058864 5366445083 3215340463 667357382 -266,through_modified_basic_iitb_102_d0_10,20000,193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718,True,272.18345957702115,156.75546222688865,302.5592483533718,1820.0,803.0,1820.0,2.1566667457379336
through_modified_basic,1 10 0 0,5,False,cair,2,1563324357 cluster_1563324333_1563324337,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,through_modified_basic_cair_90_d5_10,20000,35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316 35.841137562581316,True,122.184575,83.40605,137.0993923076923,1294.0,354.0,1294.0,1.880106415179429
through_modified_basic,1 10 0 0,3,False,iitb,1,667357382,667357419 667357382 4369058864 2055461156,through_modified_basic_iitb_25_d3_10,20000,244.0719746939115 244.0719746939115 244.0719746939115 244.0719746939115,True,414.2165753892835,299.6413424027208,437.131621986596,2740.0,1066.0,2740.0,1.5821574225861563
through_modified_basic,1 10 0 0,0,False,grid_5_5,4,5 13 18 1,5 1 18 13,through_modified_basic_grid_5_5_4_d0_10,20000,60.0 60.0 60.0 60.0,True,96.53640199999998,59.116825,103.66394047619048,656.0,260.0,656.0,2.1255031077957343
through_modified_basic,1 10 0 0,5,False,grid_5_5,3,17 16 12,17 2 12 0 16,through_modified_basic_grid_5_5_7_d5_10,20000,60.0 60.0 60.0 60.0 60.0,True,115.740268,93.54102,121.29007999999996,559.0,507.0,559.0,1.5975531761147097
through_modified_basic,1 10 0 0,3,False,grid_5_5,2,6 0,6 15 24 0 11 17,through_modified_basic_grid_5_5_82_d3_10,20000,80.0 80.0 80.0 80.0 80.0 80.0,True,164.62634453781513,124.73535247432304,177.22349992628628,1155.0,523.0,1155.0,1.524126149307098
through_modified_basic,1 10 0 0,0,False,iitb,4,4369058864 -266 5366445083 3215340463,4369058864 5366445083 3215340463 667357382 -266,through_modified_basic_iitb_104_d0_10,20000,193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718 193.01923579533718,True,151.1609206182473,86.35241096438575,168.2157915797898,1580.0,433.0,1580.0,2.293772335149353
through_modified_basic,1 10 0 0,5,False,cair,1,1563324011,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,through_modified_basic_cair_17_d5_10,20000,43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174 43.123957952003174,True,184.1525304566271,130.7467987194878,204.69319650937297,1254.0,547.0,1254.0,1.6942065678453908
through_modified_basic,1 10 0 0,3,False,grid_5_5,3,1 18 5,5 1 18 13,through_modified_basic_grid_5_5_3_d3_10,20000,60.0 60.0 60.0 60.0,True,106.7612380619031,80.87130606530326,111.69265368030308,609.0,383.0,609.0,1.7419648295101606
through_modified_basic,1 10 0 0,0,False,iitb,4,1990860598 667357387 667357361 667357419,667357361 667357419 667357387 668685374 1990860598,through_modified_basic_iitb_32_d0_10,20000,135.56853493932363 135.56853493932363 135.56853493932363 135.56853493932363 135.56853493932363,True,174.30461365341336,132.7032558139535,185.2523394006396,1691.0,744.0,1691.0,1.6584436709433883
